HouseID,Title,Hood,Parish,Price,Gross_Area,Typology
32423566,Apartamento T1 à venda em Baixa,Santa Maria Maior,NA,550000,78,T1
32423566,Apartamento T1 à venda em Baixa,Santa Maria Maior,NA,550000,78,T1
32491593,Apartamento T1 à venda em Cais do Sodré - Santos,Misericórdia,NA,500000,75,T1
32549807,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,750000,71,T1
32527470,"Apartamento T1 à venda , Calçada de São Vicente",Alfama - Sé,Santa Maria Maior,265000,54,T1
32615802,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,790000,90,T1
32225081,Apartamento T1 à venda em Rato - Amoreiras,Santo António,NA,435000,53,T1
32442246,Apartamento T1 à venda em Bairro Alto,Misericórdia,NA,359000,67,T1
32595912,Apartamento T1 à venda em Graça,São Vicente,NA,269500,50,T1
32132209,Apartamento T1 à venda na rua Marques da Silva,Alameda - Praça do Chile - Almirante Reis,São Jorge de Arroios,360000,90,T1
32629601,"Apartamento T1 à venda na rua de São Bento, 510",Principe Real - Praça da Alegria,Santo António,129900,67,T1
32625391,"Apartamento T1 à venda na rua Capitão Leitão, 28",Marvila,Lisboa,200000,38,T1
32592688,Apartamento T1 à venda na rua da Barroca,Bairro Alto,Misericórdia,450000,76,T1
32556133,Apartamento T1 à venda em Marvila,Lisboa,NA,330000,76,T1
32568118,Apartamento T1 à venda em Bairro Alto,Misericórdia,NA,500000,93,T1
32373867,Apartamento T1 à venda em Alto dos Moinhos,São Domingos de Benfica,NA,390000,91,T1
32568498,Apartamento T1 à venda em Bairro Alto,Misericórdia,NA,490000,88,T1
32632303,Apartamento T1 à venda em Bica - Santa Catarina,Misericórdia,NA,360000,60,T1
32388894,Apartamento T1 à venda em Bica - Santa Catarina,Misericórdia,NA,220000,68,T1
32352569,Apartamento T1 à venda em Lapa,Estrela,NA,520000,130,T1
32410051,Apartamento T1 à venda na rua Leite de Vasconcelos 16,Santa Engrácia,São Vicente,248000,51,T1
32293966,Apartamento T1 à venda em Chiado,Santa Maria Maior,NA,295000,65,T1
31740012,Apartamento T1 à venda em Expo Central,Parque das Nações,NA,475000,69,T1
31938986,"Penthouse à venda na rua Casimiro Freire, 15",Bairro dos Actores,Areeiro,315000,50,T1
32443667,Apartamento T1 à venda na rua do Mato Grosso,Santa Engrácia,São Vicente,239000,49,T1
32611160,"Apartamento T1 à venda na avenida Santos Dumond tornejando com a Rua Tenente Espanca, 47",Campo Pequeno - Praça de Espanha,Avenidas Novas,449500,59,T1
32610580,"Apartamento T1 à venda na rua Luciano Freire, 10",Entrecampos,Avenidas Novas,240000,42,T1
32611620,Apartamento T1 à venda na avenida Infante Santo s/n,Lapa,Estrela,399000,49,T1
32553113,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,790000,89,T1
32312344,Apartamento T1 à venda na rua Pedro Dias s/n,Príncipe Real - São Bento,Misericórdia,310000,49,T1
32626686, Casa ou moradia à venda na avenida Almirante Gago Coutinho,São João de Brito,Alvalade,2500000,,"367 m² área bruta, 270 m² úteis"
32237833,"Penthouse à venda na rua Presidente Arriaga, 132",Lapa,Estrela,315000,39,T1
31044886,"Apartamento T1 à venda na rua da conceição da gloria, 17",Principe Real - Praça da Alegria,Santo António,676500,103,T1
32509082,"Apartamento T1 à venda no beco dos Contrabandistas, 3",Alcântara,Estrela,225000,45,T1
32546339,"Apartamento T1 à venda na rua da Regueira, 1",Alfama - Sé,Santa Maria Maior,285000,40,T1
31873407,Apartamento T1 à venda na rua Cruz a Alcântara s/n,Alvito - Quinta do Jacinto,Alcântara,175000,45,T1
32336082,Apartamento T1 à venda em Beato,Lisboa,NA,299900,100,T1
32256276,Apartamento T1 à venda em Cais do Sodré - Santos,Misericórdia,NA,597600,71,T1
31077278,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,790000,90,T1
32527987,"Apartamento T1 à venda na rua do Vale de Santo António, 21",São Vicente de Fora,São Vicente,330000,60,T1
32503521,Apartamento T1 à venda na praceta Pátio Salema s/n,Pena,Arroios,515000,56,T1
31514864,"Duplex à venda na rua Calçada Marques de Abrantes, 128",Santos-o-Velho - Madragoa,Estrela,525000,130,T1
32622711,Apartamento T1 à venda em Saldanha - Picoas,São Jorge de Arroios,Arroios,402000,56,T1
32612785,Duplex à venda em Principe Real - Praça da Alegria,Santo António,NA,530000,117,T1
32227870,"Penthouse à venda na rua Pereira Henriques, 618",Marvila,Lisboa,385000,63,T1
31846139,"Apartamento T1 à venda na rua Praia do Bom Sucesso, 7",Torre de Belém,Belém,570000,71,T1
32248606, Moradia em banda à venda em Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,Lumiar,NA,425000,,1 andar
32248644,Apartamento T1 à venda em Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,Lumiar,NA,345000,94,T1
32398909,Apartamento T1 à venda em Entrecampos,Avenidas Novas,NA,560000,85,T1
31256072,Apartamento T1 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,428000,71,T1
31805527,Apartamento T1 à venda em Alcântara,Estrela,NA,535000,82,T1
32469057,Apartamento T1 à venda em Campo Grande,Alvalade,NA,472500,63,T1
32558500,Apartamento T1 à venda em Av. de Roma - Campo Pequeno,Areeiro,NA,660000,88,T1
32334425,Apartamento T1 à venda em Av. de Roma - Campo Pequeno,Areeiro,NA,385000,100,T1
32313272,Apartamento T1 à venda em Centro,Penha de França,NA,175000,55,T1
32260969,Apartamento T1 à venda na rua Quintinha,Príncipe Real - São Bento,Misericórdia,380000,92,T1
31442910,Apartamento T1 à venda na rua das Taipas,Principe Real - Praça da Alegria,Santo António,332000,53,T1
32528952,Apartamento T1 à venda em Marvila,Lisboa,NA,475000,100,T1
32573765,Apartamento T1 à venda em São Vicente de Fora,São Vicente,NA,299900,72,T1
32187912,Apartamento T1 à venda em Campo Grande,Alvalade,NA,410000,66,T1
32187912,Apartamento T1 à venda em Campo Grande,Alvalade,NA,410000,66,T1
32088156,Apartamento T1 à venda em Marvila,Lisboa,NA,510000,80,T1
32469282,Apartamento T1 à venda em Campo Grande,Alvalade,NA,483000,64,T1
32506033,Apartamento T1 à venda em Marvila,Lisboa,NA,435000,63,T1
32542861,Apartamento T1 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,421000,54,T1
32516892,Apartamento T1 à venda na rua Alves Torgo s/n,Alameda - Praça do Chile - Almirante Reis,São Jorge de Arroios,230000,60,T1
32593210,"Apartamento T1 à venda na rua do Salvador, 36",São Vicente de Fora,São Vicente,275000,51,T1
32400724,Apartamento T1 à venda na rua Castelo Branco Saraiva,Centro,Penha de França,280000,56,T1
30019802,Apartamento T1 à venda em Campo Pequeno - Praça de Espanha,Avenidas Novas,NA,470000,58,T1
32086249,Apartamento T1 à venda em Alameda - Praça do Chile - Almirante Reis,São Jorge de Arroios,Arroios,330000,60,T1
32430587,Apartamento T1 à venda em Campo Grande,Alvalade,NA,490000,75,T1
32323405,Apartamento T1 à venda em Av. de Roma - Campo Pequeno,Areeiro,NA,660000,77,T1
32311011,Apartamento T1 à venda em Anjos,Arroios,NA,649000,90,T1
32622233,Apartamento T1 à venda em Av. da Liberdade - Marquês de Pombal,Santo António,NA,1125000,96,T1
32604206,Duplex à venda em Anjos,Arroios,NA,558000,103,T1
32466894,Apartamento T1 à venda na rua Engenheiro Paulo Barros,Bairro de Santa Cruz,Benfica,370000,89,T1
32534495,Apartamento T1 à venda na alameda dos Oceanos,Expo Sul,Parque das Nações,490000,95,T1
30403464,Apartamento T1 à venda na rua Parreiras,Príncipe Real - São Bento,Misericórdia,320000,54,T1
32396098,"Apartamento T1 à venda na travessa Santana da Cruz, 6",Pena,Arroios,280000,54,T1
32330502,Apartamento T1 à venda na rua do Carmo,Chiado,Santa Maria Maior,859500,142,T1
32636353,Apartamento T1 à venda em Expo Norte,Parque das Nações,NA,425000,75,T1
32290944,Apartamento T1 à venda em Centro,Campo de Ourique,NA,350000,50,T1
31602386,Apartamento T1 à venda em Bairro Calçada dos Mestres,Campolide,NA,250000,54,T1
32638126,Apartamento T1 à venda em Anjos,Arroios,NA,535000,56,T1
32225076,Apartamento T1 à venda em Rato - Amoreiras,Santo António,NA,425000,47,T1
32584267,Penthouse à venda na rua Pascoal de Melo,Estefânia,São Jorge de Arroios,489000,68,T1
32638345,"Apartamento T1 à venda na rua Fernando Assis Pacheco , 207",Centro,Campo de Ourique,605000,91,T1
