HouseID,Title,Location,Price,Gross_Area,Topology
ID1aJHL.html#a76ee5414c,Apartamento T3 com 2 lugares de parqueamento em Campolide,"Avenida Miguel Torga , Campolide",895000,172,T3
ID188un.html#a76ee5414c,Apartamento T3 com varanda e vista Rio no Martinhal Resid...,"Praça do Príncipe Perfeito , Parque das Nações",1900000,142.13,T3
ID19Pz7.html#a76ee5414c,Apartamento T3 novo em Lisboa,"Rua Dom Lourenço de Almeida , Belém",2500000,254.34,T3
ID1aYLs.html#a76ee5414c,"Apartamento Duplex T2+1, com 3 terraços e parqueamento Av...",Avenidas Novas,1000000,220,T2
ID1aNba.html#a76ee5414c,"Apartamento T4 em Lisboa, na freguesia da Estrela totalme...",Estrela,990000,200,T4
ID18BXy.html#a76ee5414c,Apartamento 2 Quartos,"Rua do Alecrim , Misericórdia",1050000,144.41,T2
ID1b1yN.html#a76ee5414c,Apartamento T1 no Aurora,"Avenida António Augusto de Aguiar , Avenidas Novas",548000,66,T1
ID18BV4.html#a76ee5414c,Apartamento 3 Quartos,"Rua do Alecrim , Misericórdia",1225000,166.29,T3
ID18BYh.html#a76ee5414c,Apartamento 1 quarto,"Rua do Alecrim , Misericórdia",690000,105.51,T1
ID1b1z2.html#a76ee5414c,Penthouse T4 no Aurora,"Avenida António Augusto de Aguiar , Avenidas Novas",2700000,298,T4
ID1b8rB.html#a76ee5414c,Apartamento T3 remodelado e equipado,"Rua Doutor João de Barros , Benfica",399900,85,T3
ID1aERv.html#a76ee5414c,Apartamento T2 de charme em condomínio de luxo,Avenidas Novas,950000,111.8,T2
ID1aHIL.html#a76ee5414c,Apartamento T3 com terraço e garagem no Chiado,Santa Maria Maior,2500000,185,T3
ID188ur.html#a76ee5414c,"Apartamento T4 Corner, no Martinhal Residences!",Parque das Nações,3300000,272.71,T4
ID17c5k.html#a76ee5414c,"Apartamento T2, com 1 suite e 1 lugar de garagem",Belém,800000,112.38,T2
ID1aUFA.html#a76ee5414c,Apartamento T2 com terraço e estacionamento na Junqueira,Belém,890000,91.25,T2
ID15JYs.html#a76ee5414c,"Apartamento T2 com estacionamento e varanda, Praça de Esp...",Avenidas Novas,725000,105,T2
ID1aUFn.html#a76ee5414c,Apartamento T3 com terraço e estacionamento na Junqueira,Belém,1390000,199,T3
ID18mmI.html#a76ee5414c,T4 Duplex no Condominio Privado Pateo da Cordoaria,Alcântara,1785000,214,T4
ID18jf8.html#a76ee5414c,"Unique Benfica, T3, espaçoso e cheio de luz, com amplas v...",São Domingos de Benfica,1640000,287.8,T3
ID18mmC.html#a76ee5414c,T3 Duplex no Condominio Privado Pateo da Cordoaria,Alcântara,1102500,137,T3
ID166x3.html#a76ee5414c,Penthouse duplex T4 com piscina privada e terraço na Praç...,Avenidas Novas,2779000,207,T4
ID18mmF.html#a76ee5414c,T2 no Condominio Privado Pateo da Cordoaria,Alcântara,892500,113,T2
ID1aLHJ.html#a76ee5414c,Apartamento T3 com varanda e estacionamento na Praça de E...,Avenidas Novas,894000,131,T3
ID17c5y.html#284e086b60,"Apartamento T1, com pátio privativo em Belém",Belém,620000,79.81,T1
ID15vAu.html#284e086b60,Apartamento T3 duplex com varanda e garagem na Tapada da ...,Alcântara,1105000,156,T3
ID1anmh.html#284e086b60,Martinhal Residences - Apartmento T3,"Praça do Príncipe Perfeito , Parque das Nações",2200000,161.5,T3
ID15Ept.html#284e086b60,Edifício URBAN - Apartamento T2 Bloco A-2H,"Rua Fernando Palha , Marvila",650000,92.2,T2
ID1aTlH.html#284e086b60,"Apartamento T2 com varanda junto ao Marquês de Pombal, Li...",Arroios,892500,94.64,T2
ID1aTlT.html#284e086b60,"Apartamento T1 com varanda junto ao Marquês de Pombal, Li...",Arroios,682500,76.47,T1
ID16dEc.html#284e086b60,Apartamento T4 DUPLEX com TERRAÇO na Rua dos Fanqueiros,"Rua de São Julião , Santa Maria Maior",1200000,151,T4
ID19A5P.html#284e086b60,Apartamento T2 no Condomínio das Águas Livres,"Rua Campos Júnior , Campolide",568000,120,T2
ID19PzI.html#284e086b60,Apartamento T3 novo em Lisboa,"Rua Dom Lourenço de Almeida , Belém",2500000,251.16,T3
ID1anmx.html#284e086b60,Apartamento T1 no Promenade,"Praça Duque da Terceira , Misericórdia",1125000,76.2,T1
ID1ann1.html#284e086b60,Sottomayor Premium Apartments,"Avenida de Berna , Avenidas Novas",1550000,161.1,T3
ID1anmw.html#284e086b60,Excelente penthouse com 4 suites,"Praça Duque da Terceira , Misericórdia",3600000,237.7,T4
ID1a3h5.html#284e086b60,APARTAMENTO T2 | 2 CASAS DE BANHO | 2 VARANDAS  | AVENIDAS NOVAS | LIS,"Rua Tenente Espanca , Avenidas Novas",617500,89,T2
ID1b8Iq.html#284e086b60,T4 de Luxo - Restelo,Belém,1975000,281.5,T4
ID1b8Io.html#284e086b60,T4 de Luxo - Restelo,Belém,1275000,281.6,T4
ID1b8Ip.html#284e086b60,T4 de Luxo - Restelo,Belém,2375000,286.95,T4
ID1b8In.html#284e086b60,T4 de Luxo - Restelo,Belém,2275000,281.5,T4
ID1b8HP.html#284e086b60,T4 de Luxo - Restelo,Belém,2425000,286.95,T4
ID1b8HQ.html#284e086b60,T4 de Luxo - Restelo,Belém,2125000,286.95,T4
ID1b8HN.html#284e086b60,T4 de Luxo - Restelo,Belém,1975000,278.6,T4
ID1b8HO.html#284e086b60,T4 de Luxo - Restelo,Belém,2100000,281.5,T4
ID1b8HJ.html#284e086b60,T4 de Luxo - Restelo,Belém,1275000,278.6,T4
ID1b8HK.html#284e086b60,T4 de Luxo - Restelo,Belém,1625000,281.5,T4
ID1b8HL.html#284e086b60,T4 de Luxo - Restelo,Belém,1375000,281.5,T4
ID1b8HM.html#de153c1408,T4 de Luxo - Restelo,Belém,2525000,281.5,T4
ID1b8HI.html#de153c1408,T4 de Luxo - Restelo,Belém,1375000,278.6,T4
ID1b8GX.html#de153c1408,T4 de Luxo - Restelo,Belém,1725000,281.5,T4
ID1b6it.html#de153c1408,"Arroios. T2. Reabilitado, a estrear. Suite e varanda. Edi...",Arroios,395000,80,T2
ID1a9Ld.html#de153c1408,Apartamento T1 com logradouro junto ao Instituto Superior Técnico,Arroios,365000,51,T1
ID168OX.html#de153c1408,Apartamento T3 Unique Belém,Ajuda,1750000,144.05,T3
ID19Rw5.html#de153c1408,Apartamento T3 com varanda perto da Avenida da Liberdade,Santo António,"1344300,81",104,T3
ID18F2T.html#de153c1408,Edifício SQUARE Bloco B-5ºD,"Rua B aos Jardins Braço de Prata , Marvila",870000,180.2,T2
ID18zXU.html#de153c1408,Apartamento T2+1 Duplex com terraço e estacionamento na Estrela,Estrela,1560000,152.3,T2
ID19RuF.html#de153c1408,Apartamento T2 com varanda perto da Avenida da Liberdade,Santo António,"1055785,99",95,T2
ID18zXT.html#de153c1408,Apartamento T3 com duas varandas e estacionamento na Estrela,Estrela,2175000,226.2,T3
ID18zXX.html#de153c1408,Apartamento T4+1 com varanda e estacionamento na Estrela,Estrela,2210000,232.1,T4
ID1aqNT.html#de153c1408,Edifício PARK Bloco B 5ºA,"Rua B aos Jardins Braço de Prata , Marvila",980000,153.1,T2
ID1aqO6.html#de153c1408,Edifício PARK Bloco C 1ºA,"Rua B aos Jardins Braço de Prata , Marvila",1510000,266.5,T4
ID1aLHZ.html#de153c1408,"Apartamento T2 com varanda e garagem na Praça de Espanha,...",Avenidas Novas,652000,89,T2
ID17AHC.html#de153c1408,Edifício SQUARE Bloco C-3ºF,"Rua B aos Jardins Braço de Prata , Marvila",520000,79.6,T1
ID19Ruw.html#de153c1408,Apartamento T1 com varanda perto da Avenida da Liberdade,Santo António,"789267,37",81,T1
ID1aptV.html#de153c1408,Edifício SQUARE Bloco D 2ºE,"Rua B aos Jardins Braço de Prata , Marvila",955000,184.2,T3
ID1aqSv.html#de153c1408,Edifício PARK Bloco C 4ºA,"Rua B aos Jardins Braço de Prata , Marvila",1180000,192.3,T3
ID1aLGP.html#de153c1408,Apartamento T1 com varanda e estacionamento na Praça de E...,Avenidas Novas,460000,54,T1
ID1b8zX.html#de153c1408,Apartamento T4 para venda,Olivais,380000,110,T4
ID1b7Jb.html#de153c1408,Estefânia T2 - OPORTUNIDADE,"Rua Cidade da Horta , Arroios",425000,95,T2
ID1b8wb.html#de153c1408,"Apartamento T1 Em Remodelação Total, com Parqueamento, em...",São Domingos de Benfica,329900,50,T1
ID1b8up.html#de153c1408,SANDOMIL  PALACE LUXURY APARTMENTS | APARTAMENTO IMPAR NO CHIADO | NOV,Misericórdia,1475000,204,T2
ID1b8rk.html#33b677478f,Apartamento T1 para venda,Benfica,190000,56,T1
ID1b8qt.html#33b677478f,Apartamento T3 para venda,São Domingos de Benfica,380000,113,T3
